Column,Variable,Label
WTDRD1,2493.021655 to 267526.89097,"Range of Values"
WTDRD1,0,"Day 1 dietary recall not done/incomplete"
WTDRD1,.,"Missing"
WTDR2D,1953.802108 to 818626.65723,"Range of Values"
WTDR2D,0,"Day 2 dietary recall not done/incomplete"
WTDR2D,.,"Missing"
DR1DRSTZ,1,"Reliable and met the minimum criteria"
DR1DRSTZ,2,"Not reliable or not met the minimum criteria"
DR1DRSTZ,4,"Reported consuming breast-milk"
DR1DRSTZ,5,"Not done"
DR1DRSTZ,.,"Missing"
DR1EXMER,2 to 91,"Range of Values"
DR1EXMER,.,"Missing"
DRDINT,1,"Day 1 only"
DRDINT,2,"Day 1 and day 2"
DRDINT,.,"Missing"
DR1DBIH,-31 to 74,"Range of Values"
DR1DBIH,.,"Missing"
DR1DAY,1,"Sunday"
DR1DAY,2,"Monday"
DR1DAY,3,"Tuesday"
DR1DAY,4,"Wednesday"
DR1DAY,5,"Thursday"
DR1DAY,6,"Friday"
DR1DAY,7,"Saturday"
DR1DAY,.,"Missing"
DR1LANG,1,"English"
DR1LANG,2,"Spanish"
DR1LANG,3,"English and Spanish"
DR1LANG,4,"Other"
DR1LANG,5,"Asian Languages"
DR1LANG,6,"Asian Languages and English"
DR1LANG,.,"Missing"
DR1MNRSP,1,"SP"
DR1MNRSP,2,"Mother of SP"
DR1MNRSP,3,"Father of SP"
DR1MNRSP,4,"Wife of SP"
DR1MNRSP,5,"Husband of SP"
DR1MNRSP,6,"Daughter of SP"
DR1MNRSP,7,"Son of SP"
DR1MNRSP,8,"Grandparent of SP"
DR1MNRSP,9,"Friend, Partner, Non Relative"
DR1MNRSP,10,"Translator, not a HH member"
DR1MNRSP,11,"Child care provider, Caretaker"
DR1MNRSP,12,"Other Relative"
DR1MNRSP,13,"Other specify"
DR1MNRSP,77,"Refused"
DR1MNRSP,99,"Don't know"
DR1MNRSP,.,"Missing"
DR1HELPD,1,"SP"
DR1HELPD,2,"Mother of SP"
DR1HELPD,3,"Father of SP"
DR1HELPD,4,"Wife of SP"
DR1HELPD,5,"Husband of SP"
DR1HELPD,6,"Daughter of SP"
DR1HELPD,7,"Son of SP"
DR1HELPD,8,"Grandparent of SP"
DR1HELPD,9,"Friend, Partner, Non Relative"
DR1HELPD,10,"Translator, not a HH member"
